Species,SG,Diet,Func,Size,IntFor,Area,Tort,VarInt,First,Total,start_finish
frenatus,1,1,2,28,3.16,26.38937829,3.224489796,2.833,1.4,15.8,4.9
frenatus,4,1,2,18,0.733333333,0.942477796,7.333333333,0.090666667,0.3,4.4,0.6
frenatus,1,1,2,27,1.835714286,8.953539063,2.106557377,6.558928571,1.5,12.85,6.1
scopas,1,4,3,10,2.042857143,8.984954989,4.205882353,1.492857143,2,14.3,3.4
sordidus,4,1,1,10,1.077777778,6.078981785,3.233333333,0.806944444,0.7,9.7,3
sordidus,4,1,1,9,1.642857143,5.09723408,4.107142857,0.99952381,1.3,11.5,2.8
scopas,1,4,3,19,2.2125,7.461282552,11.8,3.26125,0.4,17.7,1.5
frenatus,1,1,2,28,4.22,33.48937769,1.465277778,24.187,2.3,21.1,14.4
frenatus,4,1,2,28,4.8,77.67587836,19.2,22.53555556,1.8,48,2.5
sordidus,4,1,1,8,2.933333333,49.0088454,1.353846154,3.850666667,1.3,17.6,13
rivulatus,4,1,2,12,3.718888889,73.97194062,2.912967798,18.66806111,0.55,33.47,11.49
vulpinis,2,5,3,27,6.895714286,56.97278277,1.197766749,31.68469524,0.9,48.27,40.3
vulpinis,2,5,3,23,6.415714286,138.4656962,2.65739645,20.6483619,2.34,44.91,16.9
frenatus,1,1,2,10,1.734444444,11.63551671,7.923857868,2.412802778,0.27,15.61,1.97
vulpinis,2,5,3,20,5.05,84.52847734,1.231707317,47.9585,1.66,35.35,28.7
scopas,4,4,3,14,1.555714286,2.361927897,20.54716981,2.222228571,0.4,10.89,0.53
vulpinis,2,5,3,22,3.312222222,93.66265798,1.524808184,6.837544444,7.7,29.81,19.55
scopas,2,4,3,18,1.165714286,1.566869336,11.17808219,0.946361905,0.89,8.16,0.73
vulpinis,2,5,3,26,5.1,143.668959,1.612648221,18.98805714,3.39,40.8,25.3
vulpinis,2,5,3,23,5.808333333,43.82521752,1.249103943,58.89441667,20.5,34.85,27.9
scopas,1,4,3,13,0.96,8.293804605,2.341463415,0.520444444,0.6,9.6,4.1
vulpinis,2,5,3,20,3.81,235.619449,1.905,8.049888889,4.3,38.1,20
scopas,2,4,3,12,1.8125,6.927211801,6.590909091,2.624107143,2.7,14.5,2.2
scopas,1,4,3,10,1.7,13.7287599,2.775510204,2.082857143,2.7,13.6,4.9
scopas,1,4,3,10,1.64,8.945685081,1.223880597,2.313,0.5,8.2,6.7
vulpinis,2,5,3,23,6.242857143,261.4747566,1.522648084,70.98619048,1,43.7,28.7
scopas,1,4,3,15,2.016666667,10.83849465,1.315217391,10.69366667,0.2,12.1,9.2
vulpinis,2,5,3,24,9.05,121.7681313,1.120743034,12.37666667,12.5,36.2,32.3
